Player ID 	lname fname
annib101	Annis Bill
ansoc101	Anson Cap
anthe001	Anthony Eric
anthm901	Anthony Merle
antoj102	Antolick Joe
antoj101	Antonelli John
antoj103	Antonelli Johnny
antom001	Antonelli Matt
antob101	Antonello Bill
aokin001	Aoki Nori
aparl101	Aparicio Luis
apodb101	Apodaca Bob
aponl001	Aponte Luis
aponr801	Aponte Ricardo
appik001	Appier Kevin
applf101	Applegate Fred
apple101	Appleton Ed
applp101	Appleton Pete
appll101	Appling Luke
aquig001	Aquino Greg
aquil001	Aquino Luis
araga101	Aragon Angel
aragj101	Aragon Jack
aratm901	Arata Mark
araue001	Araujo Elvis
archm101	Archdeacon Maurice
archc001	Archer Chris
archf101	Archer Fred
archj101	Archer Jim
archj102	Archer Jimmy
archg101	Archie George
arcij101	Arcia Jose
arcio001	Arcia Oswaldo
arded101	Ardell Dan
ardir101	Ardizoia Rugger
ardnj101	Ardner Joe
ardod001	Ardoin Danny
arelf101	Arellanes Frank
arenn001	Arenado Nolan
arenj001	Arencibia J.P.
arfth101	Arft Hank
ariaa002	Arias Alberto
ariaa001	Arias Alex
ariag001	Arias George
ariaj001	Arias Joaquin
ariar101	Arias Rudy
arleb101	Arlett Buzz
arlid101	Arlich Don
arlis101	Arlin Steve
armam001	Armas Marcos
armat001	Armas Tony
armat002	Armas Tony
armbe101	Armbrister Ed
armbo101	Armbrust Orville
armbc101	Armbruster Charlie
armbh101	Armbruster Harry
armer901	Armendariz Ramon
armob801	Armour Bill
armsg101	Armstrong George
armsh101	Armstrong Howard
armsj001	Armstrong Jack
armsm001	Armstrong Mike
armsr101	Armstrong Robert
armss001	Armstrong Shawn
arndh101	Arndt Harry
arndl001	Arndt Larry
arnob101	Arnold Billy
arnoc101	Arnold Chris
arnof901	Arnold Frank
arnoj001	Arnold Jamie
arnos001	Arnold Scott
arnot001	Arnold Tony
arnom101	Arnovich Morrie
arnsb001	Arnsberg Brad
arnto101	Arntzen Orie
aro-j001	Aro Jonathan
arocr001	Arocha Rene
arrej001	Arredondo Jose
arrij001	Arrieta Jake
arrig101	Arrigo Gerry
arror001	Arrojo Rolando
arrob001	Arroyo Bronson
arrof001	Arroyo Fernando
arrol101	Arroyo Luis
arror101	Arroyo Rudy
arrue001	Arruebarrena Erisbel
arsep801	Arsenault Pierre
arunh101	Arundel Harry
arunt101	Arundel Tug
asadr001	Asadoor Randy
asbej101	Asbell Jim
asbjc101	Asbjornson Casper
ascaj001	Ascanio Jose
aschc001	Asche Cody
aschd901	Aschwege Dave
asenm001	Asencio Miguel
ash-k101	Ash Ken
ashbr101	Ashburn Richie
ashba001	Ashby Alan
ashba002	Ashby Andy
ashea001	Asher Alec
ashfe901	Ashford Emmett
ashft001	Ashford Tucker
ashlb001	Ashley Billy
ashln001	Ashley Nevin
asmut101	Asmussen Tom
asprb101	Aspromonte Bob
asprk101	Aspromonte Ken
asseb101	Asselstine Brian
assep001	Assenmacher Paul
astae001	Astacio Ezequiel
astap001	Astacio Pedro
astrj101	Astroth Joe
atchs001	Atchison Scott
atchj001	Atchley Justin
athec101	Atherton Charlie
athek001	Atherton Keith
atill001	Atilano Luis
atkig001	Atkins Garrett
atkij101	Atkins James
atkim001	Atkins Mitch
atkit101	Atkins Tommy
atkia101	Atkinson Al
atkib101	Atkinson Bill
atkie101	Atkinson Ed
adkih101	Atkinson Harry
atkil101	Atkinson Lefty
attrd101	Attreau Dick
atwet101	Atwell Toby
atwob101	Atwood Bill
atz-j101	Atz John
aubrc101	Aubrey Chub
aubrm001	Aubrey Michael
aucod001	Aucoin Derek
auder001	Aude Rich
auerr101	Auerbach Rick
aufet801	Auferio Tony
augeb001	Augenstein Bryan
augud001	August Don
augud101	Augustine Dave
auguj001	Augustine Jerry
aukee101	Auker Elden
auldt101	Aulds Tex
aultd101	Ault Doug
aumop001	Aumont Phillippe
aurir001	Aurilia Rich
ausaj001	Ausanio Joe
ausmb001	Ausmus Brad
austd101	Aust Dennis
auste901	Austin Ed
austh101	Austin Henry
austj002	Austin Jeff
austj001	Austin Jim
austj101	Austin Jimmy
austr101	Austin Rick
autra101	Autry Al
autrc101	Autry Chick
autrc102	Autry Chick
avann901	Avants Nick
avenb001	Aven Bruce
avere101	Averill Earl
avere102	Averill Earl
averh901	Avery Ham
avers001	Avery Steve
averx001	Avery Xavier
avila001	Avila Alex
avilb101	Avila Bobby
avill001	Avilan Luis
avilm001	Aviles Mike
avilr101	Aviles Ramon
avrej101	Avrea Jay
axeld001	Axelrod Dylan
axfoj001	Axford John
ayalb001	Ayala Benny
