Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jose Acosta        R   3   2   2   0   0   2   0   0   0   0   0  .667  .800 1.333 i
Charlie Eckert     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
James Edwards      L  16   4   0   0   0   1   0   4   0   1   0  .250  .294  .250 i
Howard Ehmke       R  84  22   4   0   1  20   0   6   2   3   0  .262  .415  .345 i
Joe Engel          L  11   2   0   1   0   1   0   0   0   0   0  .182  .250  .364 i
Eric Erickson      R  31   7   1   1   0   5   0   2   0   1   0  .226  .333  .323 i
Red Faber          R  44  10   3   2   0   3   0   6   0   0   0  .227  .277  .386 i
Cy Falkenberg      R  13   4   2   0   0   2   0   2   0   1   0  .308  .400  .462 i
Alex Ferguson      R  37  12   4   2   0   3   0   0   0   0   0  .324  .375  .541 i
Ray Fisher         R  47  10   2   2   0   4   0   2   0   1   0  .213  .275  .340 i
Russ Ford          R  23   4   0   1   0   0   0   0   0   0   0  .174  .174  .261 i
Ray Francis        L  17   3   1   0   0   0   0   1   0   0   0  .176  .176  .235 i
Skipper Friday     R   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
Curt Fullerton     R   2   0   0   0   0   1   0   0   0   1   0  .000  .333  .000 i
Bert Gallia        R  19   6   1   1   1   3   0   1   0   1   0  .316  .409  .632 i
Milt Gaston        R   6   0   0   0   0   0   0   1   1   0   0  .000  .143  .000 i
Bob Geary          R   6   1   0   0   0   3   0   1   0   0   0  .167  .444  .167 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lefty George       L  10   1   0   0   0   1   0   1   0   0   0  .100  .182  .100 i
Joe Giard          L   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Al Gould           R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 i
Sam Gray           R  14   2   1   0   0   2   0   3   0   0   0  .143  .250  .214 i
Vean Gregg         L  50  13   2   1   0   2   0   5   1   1   0  .260  .302  .340 i
Bob Groom          R  43  10   1   0   1   5   0   3   0   0   0  .233  .313  .326 i
Rip Hagerman       R   7   0   0   0   0   2   0   0   0   1   0  .000  .222  .000 i
Earl Hamilton      L  45  13   2   0   0   4   0   3   1   1   0  .289  .360  .333 i
Harry Harper       L  46   8   2   0   0   4   0   7   1   0   0  .174  .255  .217 i
Slim Harriss       R  43  11   1   0   1   4   0   0   0   0   0  .256  .319  .349 i
Bob Hasty          R  20   7   0   0   2   1   0   1   1   1   0  .350  .409  .650 i
Fred Heimach       L  36  12   2   0   0   0   0   2   0   0   0  .333  .333  .389 i
G. Hesselbacher    R   6   3   0   1   0   0   0   0   0   0   0  .500  .500  .833 
Carl Holling       R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 i
Ken Holloway       R   4   0   0   0   0   2   1   0   0   0   0  .000  .333  .000 i
Byron Houck        R   5   1   0   0   0   3   0   0   1   0   0  .200  .556  .200 i
Waite Hoyt         R  54  17   1   1   2   3   0   2   0   0   0  .315  .351  .481 i
Tom Hughes         R   4   1   0   1   0   0   0   0   0   1   0  .250  .250  .750 i
Bill James         R  33   9   3   1   0   8   0   0   1   2   0  .273  .429  .424 i
Lefty James        L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hank Johnson       R   3   1   0   0   0   1   0   0   1   0   0  .333  .600  .333 
Jing Johnson       R  24   7   1   0   0   2   0   0   0   0   0  .292  .346  .333 i
Syl Johnson        R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 i
Walter Johnson     R 206  42  10   0   1  17   0  20   3   1   0  .204  .274  .267 i
Sad Sam Jones      R  53  12   3   0   0   8   0   5   0   0   0  .226  .328  .283 i
George Kahler      R  10   1   0   1   0   0   0   1   0   0   0  .100  .100  .300 i
Rudy Kallio        R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 i
Benn Karr          R  26   7   0   0   0   1   0   0   0   1   0  .269  .296  .269 i
Ray Keating        R  34  12   1   1   0   3   0   2   0   1   0  .353  .405  .441 i
Dave Keefe         R   7   2   0   1   0   0   0   0   0   0   0  .286  .286  .571 i
Dickey Kerr        L  12   3   0   0   0   1   0   0   0   0   0  .250  .308  .250 i
Walt Kinney        L  17   5   0   1   0   4   0   1   1   0   0  .294  .455  .412 i
Ed Klepfer         R  14   4   1   0   0   0   0   0   0   0   0  .286  .286  .357 i
Tom Knowlson       R   8   6   0   2   0   1   0   0   1   0   0  .750  .800 1.250 i
Ray Kolp           R  12   3   1   0   0   0   0   0   0   0   0  .250  .250  .333 i
Ernie Koob         L  24   3   0   1   0   2   0   0   0   0   0  .125  .192  .208 i
Joe Lake           R   4   2   0   1   1   0   0   0   1   0   0  .500  .600 1.750 i
Frank Lange        R   9   2   1   0   0   1   0   0   0   0   0  .222  .300  .333 i
Lefty Leifield     L  12   1   0   1   0   3   0   1   0   1   0  .083  .267  .250 i
Dutch Leonard      L  29  12   4   0   0   5   0   2   0   2   0  .414  .500  .552 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Walt Leverenz      L  19   4   1   0   0   1   0   1   0   0   0  .211  .250  .263 i
Jim Lindsey        R   7   4   0   0   1   2   0   0   1   0   0  .571  .700 1.000 i
Slim Love          L  19   5   2   0   0   4   0   3   0   0   0  .263  .391  .368 i
G. Lowdermilk      R   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 i
Adrian Lynch       R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Duster Mails       L  22   8   1   1   0   2   0   1   0   0   0  .364  .417  .500 i
Firpo Marberry     R  10   3   0   0   0   2   0   0   0   0   0  .300  .417  .300 i
Cliff Markle       R   6   1   0   0   0   3   0   0   0   0   0  .167  .444  .167 i
Carl Mays          R  31   8   1   1   1   5   0   0   0   0   0  .258  .361  .452 i
George McConnell   R  14   2   0   0   0   0   0   3   0   0   0  .143  .143  .143 i
Marty McHale       R  23   6   3   0   0   2   0   1   0   1   0  .261  .320  .391 i
Jake Miller        L   7   2   0   0   0   0   0   0   1   1   0  .286  .375  .286 
Roy Mitchell       R   9   3   1   0   0   0   0   0   0   0   0  .333  .333  .444 i
Willie Mitchell    L  27   4   0   0   0   1   0   1   0   0   0  .148  .179  .148 i
George Mogridge    L  94  21   2   2   0   4   0   6   2   6   0  .223  .270  .287 i
Roy Moore          L  12   6   1   0   0   1   0   2   0   1   0  .500  .538  .583 i
Harry Moran        L   3   3   0   1   0   1   0   0   0   1   0 1.000 1.000 1.667 i
Guy Morton         R  61  14   1   2   0   4   0   2   0   1   0  .230  .277  .311 i
George Mullin      R  17   6   0   0   0   1   0   1   0   0   0  .353  .389  .353 i
Elmer Myers        R  16   2   0   0   0   1   0   1   0   0   0  .125  .176  .125 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Nabors        R  12   2   0   0   0   0   0   0   0   0   0  .167  .167  .167 i
Rollie Naylor      R  34  10   3   0   0   4   0   0   0   1   0  .294  .368  .382 i
Win Noyes          R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 i
Curly Ogden        R   9   2   1   0   0   2   0   2   0   0   0  .222  .364  .333 i
Red Oldham         L  27   5   0   1   0   2   0   6   0   0   0  .185  .241  .259 i
Ole Olsen          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Barney Pelty       R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 i
Herb Pennock       L  75  19   3   0   0   5   0   2   0   2   0  .253  .300  .293 i
Scott Perry        R  30   6   1   3   0   7   0   2   0   2   0  .200  .351  .433 i
Rube Peters        R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Tom Phillips       R   8   2   1   0   0   1   0   1   0   0   0  .250  .333  .375 i
Bill Piercy        R  18   5   1   0   0   2   1   0   1   1   0  .278  .381  .333 i
Herman Pillette    R  21   8   3   0   0   2   0   0   0   0   0  .381  .435  .524 i
Eddie Plank        L  55  14   1   0   1   1   0   7   0   1   0  .255  .268  .327 i
Jack Powell        R  12   4   0   0   0   1   0   0   0   1   0  .333  .385  .333 i
Jack Quinn         R  68  19   4   0   0   6   0   4   0   2   0  .279  .338  .338 i
Hank Robinson      L   3   0   0   0   0   0   0   1   1   0   0  .000  .250  .000 
Tom Rogers         R   5   1   0   0   0   2   0   0   0   1   0  .200  .429  .200 i
Eddie Rommel       R  57  17   3   1   1   4   0   3   0   3   0  .298  .344  .439 i
Buster Ross        L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dutch Ruether      L   7   4   0   0   0   1   0   0   0   1   0  .571  .625  .571 i
Red Ruffing        R  15   4   0   0   0   1   0   0   0   1   0  .267  .313  .267 i
Allen Russell      R  26  14   3   1   0   3   1   1   0   0   0  .538  .586  .731 i
Reb Russell        L  73  15   2   3   0   0   0   6   1   2   0  .205  .216  .315 i
Al Schulz          L   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 i
Jim Scott          R  33  11   2   0   0   1   0   1   0   0   0  .333  .353  .394 i
Duke Sedgwick      R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Socks Seibold      R   9   2   1   0   0   3   0   0   1   0   0  .222  .462  .333 i
Joe Shaute         L  11   5   2   0   0   1   0   1   0   1   0  .455  .500  .636 i
Jim Shaw           R  32   8   1   1   0  10   0   1   0   1   0  .250  .429  .344 i
Bob Shawkey        R  87  26   5   0   3  13   0   8   0   3   0  .299  .390  .460 i
Tom Sheehan        R   8   1   0   0   0   4   0   0   0   0   0  .125  .417  .125 i
F. Shellenback     R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 i
Urban Shocker      R  95  27  12   1   0  14   0   7   0   2   0  .284  .376  .432 i
Ernie Shore        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 i
Sherry Smith       L  10   2   1   0   1   0   0   0   0   0   0  .200  .200  .600 i
Allen Sothoron     R  55  19   0   0   1   6   0   2   2   0   0  .345  .429  .400 i
By Speece          R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 i
Bill Steen         R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 i
Lil Stoner         R  14   4   2   0   1   1   0   1   0   0   0  .286  .333  .643 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jim Sullivan       R   3   2   0   0   0   0   0   0   0   1   0  .667  .667  .667 
Suds Sutherland    R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 i
Wiley Taylor       R   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 i
Al Tedrow          L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Hank Thormahlen    L   6   0   0   0   0   3   0   0   0   0   0  .000  .333  .000 i
Dan Tipple         R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
George Uhle        R  54  14   2   2   0   9   0   4   0   2   0  .259  .365  .370 i
Elam Vangilder     R  39  11   3   0   0   3   0   1   0   1   0  .282  .333  .359 i
Hippo Vaughn       L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 i
Rube Walberg       L  12   2   1   1   0   0   0   2   0   1   0  .167  .167  .417 i
Roy Walker         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 i
Ed Walsh           R  42   7   1   1   0   1   0   7   0   1   0  .167  .186  .238 i
Jack Warhop        R  16   1   0   0   0   0   0   1   0   1   0  .063  .063  .063 i
Mule Watson        R   6   1   0   0   0   0   0   1   0   1   0  .167  .167  .167 i
Carl Weilman       L  43  11   3   0   0   6   0   5   0   2   0  .256  .347  .326 i
Earl Whitehill     L   4   2   1   0   0   3   0   0   0   0   0  .500  .714  .750 i
Roy Wilkinson      R   7   3   0   1   0   1   0   0   0   0   0  .429  .500  .714 i
Ed Willett         R  35   9   1   2   0   2   0   3   0   1   0  .257  .297  .400 i
Lefty Williams     L  41   8   0   1   0   1   0   5   1   1   0  .195  .233  .244 i
Ernie Wingard      L  10   5   0   0   0   1   0   0   0   0   0  .500  .545  .500 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Wingfield      R  19   4   2   0   0   3   0   0   0   0   0  .211  .318  .316 
Mellie Wolfgang    R   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 i
Ralph Works        R   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 i
Rasty Wright       R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 i
Weldon Wyckoff     R  22  10   0   1   0   4   0   2   1   0   0  .455  .556  .545 i
Rube Yarrison      R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Tom Zachary        L  35   7   0   0   1   3   0   1   0   1   0  .200  .263  .286 i
Paul Zahniser      R  12   2   0   0   0   1   0   0   0   0   0  .167  .231  .167 i
