Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Decker         R   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
John Denny         R  14   3   0   0   0   3   0   3   0   1   0  .214  .353  .214 
Pat Dobson         R  23   4   0   0   0   1   0   1   0   0   0  .174  .208  .174 
Richard Dotson     R  23   4   1   0   0   4   0   2   0   1   0  .174  .296  .217 
Dick Drago         R  20  11   2   0   1   2   0   2   0   0   0  .550  .591  .800 
Rob Dressler       R   8   1   0   0   0   0   0   2   0   0   0  .125  .125  .125 
Steve Dunning      R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Jamie Easterly     L   8   4   1   0   0   0   0   0   0   1   0  .500  .500  .625 
Dennis Eckersley   R  27   8   1   0   0   4   1   4   0   1   0  .296  .387  .333 
Dock Ellis         R  17   5   2   0   0   2   0   0   0   1   0  .294  .368  .412 
Roger Erickson     R  33  12   4   0   0   5   0   1   0   0   0  .364  .447  .485 
Chico Escarrega    R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ed Farmer          R  10   2   0   0   0   5   1   3   0   0   0  .200  .467  .200 
Terry Felton       R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Mark Fidrych       R   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Ed Figueroa        R  36  12   3   0   0   3   0   5   0   0   0  .333  .385  .417 
Rollie Fingers     R  15   3   2   0   0   2   1   5   0   0   0  .200  .294  .333 
Eddie Fisher       R   8   2   0   0   0   1   0   1   0   0   0  .250  .333  .250 
Al Fitzmorris      R  30   5   0   0   0   1   0   0   0   0   0  .167  .194  .167 
Mike Flanagan      L  20   5   1   0   0   0   0   1   0   0   0  .250  .250  .300 
Ken Forsch         R  17   3   1   0   0   0   0   2   0   0   0  .176  .176  .235 
Terry Forster      L   3   0   0   0   0   2   0   2   0   0   0  .000  .400  .000 
Steve Foucault     R   5   3   0   0   0   5   1   1   0   0   0  .600  .800  .600 
George Frazier     R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Dave Frost         R   9   3   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Rich Gale          R  20   3   0   0   0   0   0   4   0   0   0  .150  .150  .150 
Gene Garber        R  10   4   1   0   1   2   0   1   0   0   0  .400  .500  .800 
Wayne Garland      R  34  15   4   0   0   5   0   5   0   0   0  .441  .513  .559 
Jerry Garvin       L  10   3   2   0   0   1   0   0   0   0   0  .300  .364  .500 
Bob Gibson         R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Ed Glynn           L   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Bill Gogolewski    R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Dave Goltz         R  26  14   3   1   1   4   0   2   0   1   0  .538  .600  .846 
Rich Gossage       R  17   3   0   0   0   7   2   5   0   0   0  .176  .417  .176 
Jim Gott           R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Mike Griffin       R   4   3   0   0   0   0   0   0   0   0   0  .750  .750  .750 
Steve Grilli       R   3   1   1   0   0   1   0   2   0   0   0  .333  .500  .667 
Ross Grimsley      L   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Mark Gubicza       R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Ron Guidry         L  35   8   0   0   0   2   0   8   0   0   0  .229  .270  .229 
Larry Gura         L  20   3   1   0   0   0   0   5   0   1   1  .150  .143  .200 
Moose Haas         R  30  12   1   2   0   3   0   4   0   1   0  .400  .455  .567 
Dave Hamilton      L   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Rich Hand          R   5   3   0   0   1   1   0   1   0   0   0  .600  .667 1.200 
Bill Hands         R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Steve Hargan       R   7   3   0   0   1   0   0   0   0   0   0  .429  .429  .857 
Roric Harrison     R   5   0   0   0   0   2   0   0   0   0   0  .000  .286  .000 
Paul Hartzell      R   9   5   0   0   0   2   0   1   0   0   0  .556  .636  .556 
Andy Hassler       L   5   2   0   1   0   0   0   3   0   0   0  .400  .400  .800 
Brad Havens        L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Neal Heaton        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Heaverlo      R  10   1   0   0   0   1   1   4   0   0   0  .100  .182  .100 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Kevin Hickey       L   8   2   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Tom Hilgendorf     L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
John Hiller        L   7   1   0   0   0   1   0   3   0   0   1  .143  .222  .143 
Rich Hinton        L   9   2   0   0   0   0   0   3   0   0   0  .222  .222  .222 
Guy Hoffman        L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Fred Holdsworth    R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Rick Honeycutt     L  11   3   0   0   0   3   0   2   0   0   0  .273  .429  .273 
Don Hood           L   8   0   0   0   0   1   0   3   0   1   0  .000  .111  .000 
Joe Horlen         R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Charlie Hough      R   9   3   1   0   0   1   0   0   0   0   0  .333  .400  .444 
Tom House          L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Jay Howell         R   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400 
LaMarr Hoyt        R  20   3   0   0   0   1   0   0   0   0   0  .150  .190  .150 
Al Hrabosky        L   2   0   0   0   0   3   0   1   0   0   0  .000  .600  .000 
Jim Hughes         R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Catfish Hunter     R  48  11   2   1   2   2   0   7   0   0   0  .229  .260  .438 
Grant Jackson      L   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Roy Lee Jackson    R   6   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Jesse Jefferson    R  38  11   0   1   0   3   0   5   0   1   0  .289  .341  .342 
Fergie Jenkins     R  27   6   1   0   0   3   0   4   0   0   0  .222  .300  .259 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tommy John         L  11   5   1   0   0   0   0   1   0   0   1  .455  .417  .545 
Bart Johnson       R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
