Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Saul Rogovin       R   6   3   0   0   0   1   0   2   0   0   0  .500  .571  .500 
Fred Sanford       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Ray Scarborough    R   7   1   0   0   0   0   0   0   0   0   0  .143  .143  .143 
Carl Scheib        R   9   3   0   0   0   1   0   0   0   0   0  .333  .400  .333 
Johnny Schmitz     L  11   0   0   0   0   1   0   3   0   0   0  .000  .083  .000 
Bobby Shantz       L   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Tex Shirley        R   6   3   0   0   0   0   0   0   0   0   0  .500  .500  .500 i
Chuck Stobbs       L  11   1   0   0   0   0   0   1   0   0   0  .091  .091  .091 
Harry Taylor       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Virgil Trucks      R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hal White          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Al Widmar          R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Bill Wight         L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Early Wynn         R  17   4   0   1   0   1   0   1   0   1   0  .235  .278  .353 
Sam Zoldak         L  13   4   1   0   0   0   0   0   0   1   0  .308  .308  .385
