Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Joe Orrell         R   3   1   0   0   0   0   0   0   1   0   0  .333  .500  .333 i
Joe Ostrowski      L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Stubby Overmire    L  24   6   0   0   0   0   0   4   0   1   0  .250  .250  .250 i
Joe Page           L  22   2   0   0   0   2   0   8   0   0   0  .091  .167  .091 i
Erv Palica         R   3   1   0   0   0   2   0   0   0   0   0  .333  .600  .333 
Al Papai           R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Frank Papish       L  15   6   2   0   0   5   0   3   0   0   0  .400  .550  .533 
Mel Parnell        L   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Harry Perkowski    L  11   4   1   0   0   0   0   1   0   0   0  .364  .364  .455 
Marino Pieretti    R  22   5   3   0   0   3   0   2   0   1   0  .227  .320  .364 
Duane Pillette     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ray Poat           R   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 i
Bud Podbielan      R  14   2   1   0   0   1   0   1   0   0   0  .143  .200  .214 
Johnny Podres      L   4   0   0   0   0   3   0   0   0   0   0  .000  .429  .000 
Tom Poholsky       R  25  12   1   0   1   1   0   2   0   0   0  .480  .500  .640 
Nels Potter        R  36   6   0   0   0   3   0   5   0   1   0  .167  .231  .167 i
Joe Presko         R  12   3   0   0   0   3   0   0   0   0   0  .250  .400  .250 
Mel Queen          R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
K. Raffensberger   L   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ribs Raney         R   8   1   0   0   0   1   0   0   0   0   0  .125  .222  .125 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Vic Raschi         R  13   1   0   0   0   2   0   2   1   0   0  .077  .250  .077 
Allie Reynolds     R  51  10   1   0   1   4   0  12   0   0   0  .196  .255  .275 i
Johnny Rigney      R  13   2   1   0   0   1   0   2   0   0   0  .154  .214  .231 
Robin Roberts      R  46  10   1   0   1   2   1   3   1   0   0  .217  .265  .304 
Buck Ross          R   7   4   1   0   0   1   0   0   0   0   0  .571  .625  .714 i
Red Ruffing        R  12   3   2   0   0   1   0   0   0   0   0  .250  .308  .417 
Bob Rush           R  22   5   0   1   1   1   0   0   0   0   0  .227  .261  .455 
Marius Russo       L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Johnny Sain        R   9   3   2   0   0   0   0   1   0   0   0  .333  .333  .556 
Jack Salveson      R   5   0   0   0   0   1   0   1   0   1   0  .000  .167  .000 i
Fred Sanford       R  11   5   1   0   0   0   0   1   0   0   0  .455  .455  .545 
Bob Savage         R  14   2   0   0   0   1   0   4   0   1   0  .143  .200  .143 
Ray Scarborough    R  30   6   1   0   0   2   1   1   0   0   0  .200  .250  .233 
Carl Scheib        R  21   2   1   0   0   2   0   0   0   0   0  .095  .174  .143 i
Bob Schultz        L   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Bobby Shantz       L   5   0   0   0   0   2   0   0   0   0   0  .000  .286  .000 
Spec Shea          R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 
Tex Shirley        R  15   2   1   0   0   6   0   0   0   0   0  .133  .381  .200 i
Curt Simmons       L   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Eddie Smith        L   8   3   1   1   0   0   0   2   0   1   0  .375  .375  .750 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
