Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Nate Andrews       R   4   3   0   1   0   0   0   0   0   0   0  .750  .750 1.250 i
Junior Thompson    R  14   2   1   0   0   2   0   0   0   1   0  .143  .250  .214 
Jim Tobin          R  27   9   0   0   0   1   0   0   0   0   0  .333  .357  .333 i
Dizzy Trout        R  21   2   0   0   0   0   0   0   0   0   0  .095  .095  .095 i
Virgil Trucks      R  11   3   0   0   0   0   0   0   0   0   0  .273  .273  .273 
Jim Turner         R  32   8   3   0   0   1   0   0   0   1   0  .250  .273  .344 
Hy Vandenberg      R   8   2   0   1   0   0   0   1   0   0   0  .250  .250  .500 
J. Vander Meer     L  22   4   0   0   0   2   0   0   0   0   0  .182  .250  .182 
Jake Wade          L   6   2   0   0   0   2   0   0   0   0   0  .333  .500  .333 
Bill Walker        L  10   1   0   0   0   0   0   0   0   0   0  .100  .100  .100 i
Bucky Walters      R  70  19   1   0   0   5   1   1   0   1   0  .271  .320  .286 i
Lon Warneke        R  42   8   1   0   0   3   1   0   0   1   0  .190  .244  .214 i
Jim Weaver         R  23   3   0   0   0   1   0   2   0   0   0  .130  .167  .130 i
Bob Weiland        L  18   6   0   0   0   1   0   0   1   1   0  .333  .400  .333 i
Bill Weir          L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Hal White          R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Earl Whitehill     L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Jim Winford        R  19   6   1   0   0   1   0   0   0   0   0  .316  .350  .368 i
Johnnie Wittig     R  12   2   0   0   0   1   0   0   0   0   0  .167  .231  .167 i
Roger Wolff        R  15   4   0   1   0   1   0   1   0   2   0  .267  .313  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Whit Wyatt         R  37   7   2   0   0   2   0   2   0   1   0  .189  .231  .243 i
Bill Zuber         R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333
