Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Al Aber            L   4   2   2   0   0   1   0   0   0   0   0  .500  .600 1.000 
Larry Jackson      R  13   4   1   0   0   1   0   0   0   0   0  .308  .357  .385 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Hal Jeffcoat       R  11   5   1   0   2   2   0   1   0   0   0  .455  .538 1.091 
Connie Johnson     R  11   0   0   0   0   1   0   2   0   0   0  .000  .083  .000 
Don Johnson        R  23   9   0   1   2   2   0   1   0   0   0  .391  .440  .739 
Earl Johnson       L  22   7   0   0   1   3   0   4   0   0   0  .318  .400  .455 
Ken Johnson        R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
Dave Jolly         R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Sam Jones          R  25   6   1   0   0   4   0   1   1   0   0  .240  .367  .280 
Howie Judson       R  26   9   1   1   1   7   0   0   0   1   0  .346  .485  .577 
Don Kaiser         R   5   1   0   0   1   1   0   0   0   0   0  .200  .333  .800 
Bob Keegan         R   9   3   1   0   0   0   0   0   0   0   0  .333  .333  .444 
Russ Kemmerer      R   5   1   0   0   0   3   0   0   0   0   0  .200  .500  .200 
Vern Kennedy       R   8   0   0   0   0   1   0   0   0   0   0  .000  .111  .000 i
Bill Kennedy       L  14   4   1   0   1   6   0   0   0   1   0  .286  .500  .571 
Bill Kennedy       L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Gus Keriazakos     R   3   1   0   1   0   1   0   0   0   0   0  .333  .500 1.000 
Leo Kiely          L   6   2   1   0   0   1   0   0   0   0   0  .333  .429  .500 
Ellis Kinder       R  63  16   3   2   0  10   2   5   0   1   0  .254  .356  .365 
Nellie King        R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Ed Klieman         R   7   3   1   0   0   3   0   0   0   0   0  .429  .600  .571 
Ron Kline          R  25   4   0   0   1   2   0   3   0   0   0  .160  .222  .280 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
J. Klippstein      R  20   6   1   0   0   1   0   2   0   0   1  .300  .318  .350 
Jim Konstanty      R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Jack Kramer        R  16   9   3   0   1   1   0   0   0   0   0  .563  .588  .938 i
Lou Kretlow        R  13   6   2   0   0   8   0   0   0   0   0  .462  .667  .615 
Johnny Kucks       R  10   5   1   0   1   2   0   0   0   0   1  .500  .538  .900 
Bob Kuzava         L  18   8   2   1   0   9   0   1   1   0   0  .444  .643  .667 
Clem Labine        R  11   3   0   0   0   0   0   1   0   0   0  .273  .273  .273 
Don Larsen         R  23   6   2   1   0   5   0   1   0   0   0  .261  .393  .435 
Frank Lary         R  14   2   1   0   0   1   0   2   0   0   0  .143  .200  .214 
Vern Law           R  19   5   0   0   0   1   0   2   0   0   0  .263  .300  .263 
Brooks Lawrence    R  17   6   0   0   0   1   0   1   0   0   0  .353  .389  .353 
Thornton Lee       L   9   3   0   0   0   2   0   1   0   0   0  .333  .455  .333 
Bob Lemon          R  72  25   5   1   1  17   0   5   0   0   0  .347  .472  .486 
Dutch Leonard      R  17   9   2   0   0   1   0   1   0   0   0  .529  .556  .647 i
Johnny Lindell     R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Dick Littlefield   L   6   1   0   0   0   2   0   2   0   0   0  .167  .375  .167 
Eddie Lopat        L  58  18   2   2   0  10   0   2   0   0   0  .310  .412  .414 
Turk Lown          R   5   3   0   0   0   4   0   0   0   0   0  .600  .778  .600 
Ted Lyons          R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Duke Maas          R   7   5   1   0   0   2   0   0   0   0   0  .714  .778  .857 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Mabe           R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Dave Madison       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Sal Maglie         R  17   5   2   0   0   3   0   3   0   0   0  .294  .400  .412 
Bob Mahoney        R   3   0   0   0   0   3   0   0   0   0   0  .000  .500  .000 
G. Maltzberger     R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 i
Duke Markell       R   3   1   1   0   0   1   0   1   0   0   0  .333  .500  .667 
Dick Marlowe       R   3   1   0   0   0   1   0   1   0   0   0  .333  .500  .333 
Connie Marrero     R  30  11   4   0   1   8   1   0   0   1   0  .367  .500  .600 
Cuddles Marshall   R   7   1   1   0   0   0   0   0   0   0   0  .143  .143  .286 
Morrie Martin      L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Walt Masterson     R  33  14   2   0   0   8   1   0   0   0   0  .424  .537  .485 i
Lindy McDaniel     R   8   3   0   0   0   4   1   1   0   0   0  .375  .583  .375 
Von McDaniel       R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Mickey McDermott   L  36   9   1   0   0   9   0   3   0   0   0  .250  .400  .278 
Jim McDonald       R   6   2   0   0   0   1   0   0   0   0   0  .333  .429  .333 
Don McMahon        R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Bill Miller        L   4   3   0   0   1   0   0   0   0   0   0  .750  .750 1.500 
Al Milnar          L  10   3   1   0   0   2   0   1   0   0   0  .300  .417  .400 
Ray Moore          R   6   2   0   0   0   1   0   1   0   0   0  .333  .429  .333 
Julio Moreno       R  25   3   0   0   1   2   0   0   0   1   0  .120  .185  .240 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tom Morgan         R  26   6   3   0   0   4   0   2   0   0   0  .231  .333  .346 
Don Mossi          L   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Glen Moulder       R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Billy Muffett      R   4   1   0   0   0   2   1   0   0   0   0  .250  .500  .250 
Bob Muncrief       R  31  10   1   0   0   2   0   1   0   1   0  .323  .364  .355 i
Johnny Murphy      R   9   4   0   1   0   3   0   0   0   0   0  .444  .583  .667 
Steve Nagy         L   3   1   0   0   0   0   0   0   0   1   0  .333  .333  .333 
Ray Narleski       R   2   0   0   0   0   2   0   0   0   0   0  .000  .500  .000 
Don Newcombe       R  12   0   0   0   0   1   0   1   0   0   0  .000  .077  .000 
Hal Newhouser      L  42  10   3   0   1   8   0   0   0   1   0  .238  .360  .381 i
Bobo Newsom        R  23   7   0   0   0   5   1   1   0   0   0  .304  .429  .304 i
Dick Newsome       R   8   2   0   1   0   3   0   0   0   0   0  .250  .455  .500 i
Johnny Niggeling   R  17   2   0   0   0   2   0   1   0   0   0  .118  .211  .118 i
Willard Nixon      R  26   6   2   0   0  10   0   0   0   0   0  .231  .444  .308 
F. Ostermueller    L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Joe Ostrowski      L  30  10   0   2   2   0   0   1   0   0   0  .333  .333  .667 
Stubby Overmire    L  35  12   4   1   0   7   0   0   0   0   0  .343  .452  .514 i
Joe Page           L  23   5   0   1   0   6   0   3   0   0   0  .217  .379  .304 
Satchel Paige      R  12   4   0   0   0   1   0   0   0   0   0  .333  .385  .333 
Al Papai           R   9   3   0   2   0   1   0   0   0   0   0  .333  .400  .778 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Papish       L  26   5   0   2   0   6   0   1   1   2   0  .192  .364  .346 
Mel Parnell        L  38  11   2   0   0   4   0   5   0   0   0  .289  .357  .342 
Camilo Pascual     R  10   3   0   0   0   2   0   0   0   0   0  .300  .417  .300 
Jim Pearce         R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Len Perme          L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Billy Pierce       L  31   6   3   0   0   5   0   1   0   0   0  .194  .306  .290 
Marino Pieretti    R  21   5   1   1   0   5   1   2   0   0   0  .238  .385  .381 
Duane Pillette     R  31   5   1   0   0   8   0   0   0   0   0  .161  .333  .194 
Tom Poholsky       R   7   3   0   0   0   2   0   0   0   0   0  .429  .556  .429 
Bob Porterfield    R  64  19   1   2   0   5   0   2   0   1   0  .297  .348  .375 
Nels Potter        R  11   0   0   0   0   2   0   1   0   0   0  .000  .154  .000 
Bob Purkey         R  13   3   1   0   0   2   0   2   0   0   0  .231  .333  .308 
Pedro Ramos        R   4   2   0   0   0   1   1   0   0   0   0  .500  .600  .500 
Vic Raschi         R  80  15   4   1   0  15   1   7   1   0   0  .188  .323  .263 
Allie Reynolds     R  54  12   3   0   0  11   0   7   2   0   0  .222  .373  .278 
Woody Rich         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Steve Ridzik       R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Johnny Rigney      R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Robin Roberts      R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 
Ed Roebuck         R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Saul Rogovin       R  28   7   1   1   0   5   1   0   0   0   0  .250  .364  .357 
Bob Ross           L   1   1   0   0   0   2   0   0   0   1   0 1.000 1.000 1.000 
Buck Ross          R   5   1   0   1   0   2   0   0   0   0   0  .200  .429  .600 i
Red Ruffing        R  15   5   1   0   0   1   0   2   0   0   0  .333  .375  .400 
Bob Rush           R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Mike Ryba          R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 i
Johnny Sain        R  18   3   1   0   1   4   0   1   0   0   0  .167  .318  .389 
Jack Salveson      R   6   0   0   0   0   1   0   0   0   0   0  .000  .143  .000 
Fred Sanford       R  30   7   2   0   0   8   0   2   0   1   0  .233  .395  .300 
Jack Sanford       R  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Ray Scarborough    R  68  22   5   1   1   9   0   1   1   1   0  .324  .410  .471 i
Art Schallock      L   4   2   0   0   0   3   0   0   0   0   0  .500  .714  .500 
Willard Schmidt    R   8   3   1   1   0   4   0   0   0   0   1  .375  .538  .750 
Johnny Schmitz     L   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 
Blackie Schwamb    R   3   2   0   0   0   1   0   0   0   0   0  .667  .750  .667 
Bob Shaw           R   4   1   0   0   0   1   0   0   0   0   1  .250  .333  .250 
Spec Shea          R  37   4   1   0   0  11   0   6   0   0   0  .108  .313  .135 
Clyde Shoun        L   3   0   0   0   0   2   0   0   0   0   0  .000  .400  .000 
Al Sima            L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dave Sisler        R   3   1   0   0   0   2   0   1   0   0   0  .333  .600  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lou Sleater        L   4   2   0   0   0   0   0   0   3   0   0  .500  .714  .500 
Al Smith           L   8   0   0   0   0   2   0   1   1   1   0  .000  .273  .000 
Eddie Smith        L  16   3   1   1   0   6   0   1   0   5   0  .188  .409  .375 i
Gerry Staley       R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Dick Starr         R  19  11   2   1   0   9   0   2   0   0   0  .579  .714  .789 
Bryan Stephens     R  12   3   2   0   0   1   0   0   0   1   0  .250  .308  .417 
Chuck Stobbs       L  49  11   3   0   1   6   0   1   1   0   0  .224  .321  .347 
Dean Stone         L   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 
Marlin Stuart      R  27   6   1   0   0   5   1   0   0   0   0  .222  .344  .259 
Tom Sturdivant     R   8   1   0   0   0   1   0   1   0   0   0  .125  .222  .125 
Jim Suchecki       R   7   1   0   0   1   1   0   0   0   0   0  .143  .250  .571 
Frank Sullivan     R  14   2   0   0   0   2   0   1   0   0   0  .143  .250  .143 
Steve Sundra       R  17   3   1   0   0   1   0   0   0   0   0  .176  .222  .235 i
Max Surkont        R  11   3   1   0   0   1   0   0   0   0   0  .273  .333  .364 
Harry Taylor       R   8   2   2   0   0   2   0   2   0   0   0  .250  .400  .500 
Yank Terry         R  11   4   0   0   0   1   0   0   0   0   0  .364  .417  .364 i
Forrest Thompson   L   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
Dizzy Trout        R  62  15   4   0   1  10   0   3   0   2   0  .242  .347  .355 i
Bob Trowbridge     R   6   2   2   0   0   0   0   1   0   0   1  .333  .286  .667 
Virgil Trucks      R  96  20   1   0   1  18   0   6   0   2   0  .208  .333  .250 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Turley         R  17   5   0   0   0   4   0   3   0   0   0  .294  .429  .294 
V. Valentinetti    R   8   1   0   0   0   2   1   0   0   0   0  .125  .300  .125 
Jake Wade          L  10   2   2   0   0   0   0   0   0   0   0  .200  .200  .400 
Charlie Wagner     R  15   5   0   1   0   1   0   1   0   0   0  .333  .375  .467 i
Herm Wehmeier      R  10   3   0   0   0   1   0   0   0   0   0  .300  .364  .300 
Dick Weik          R  20   2   0   1   1  10   0   2   0   1   0  .100  .400  .350 
Dick Welteroth     R  11   4   0   1   0   5   0   1   0   0   0  .364  .563  .545 
Butch Wensloff     R   9   2   0   0   0   4   0   1   0   0   0  .222  .462  .222 
Hal White          R  23   5   1   1   0   9   0   2   0   1   0  .217  .438  .348 i
Al Widmar          R  34   9   2   0   0   4   0   0   1   1   0  .265  .359  .324 
Bill Wight         L  28   9   2   0   0   7   0   1   0   0   0  .321  .457  .393 
Hoyt Wilhelm       R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Carl Willey        R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Jim Wilson         R   4   4   2   0   0   4   0   0   0   0   0 1.000 1.000 1.500 
Jack Wilson        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 i
Roger Wolff        R   8   2   1   0   0   0   0   0   1   0   0  .250  .333  .375 
Al Worthington     R   8   3   0   1   0   2   0   1   0   0   0  .375  .500  .625 
Early Wynn         R  94  29   4   1   4  22   0   6   0   0   0  .309  .440  .500 
Sam Zoldak         L  14   3   0   0   0   0   0   1   0   0   0  .214  .214  .214 
Bill Zuber         R  17   5   1   0   0   4   0   0   0   2   0  .294  .429  .353 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
George Zuverink    R  13   6   1   1   0   1   0   1   0   0   1  .462  .467  .692
