Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Morgan        R  11   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Terry Mulholland   L  24   7   4   0   1   1   0   1   0   0   0  .292  .320  .583 
Randy Myers        L  10   3   0   0   0   1   0   2   0   0   0  .300  .364  .300 
Chris Nabholz      L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Denny Neagle       L   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Bob Ojeda          L   8   3   0   0   0   0   0   0   0   0   0  .375  .375  .375 
F. Oliveras        R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Donovan Osborne    L  11   4   1   1   0   0   0   0   0   0   0  .364  .364  .636 
Vicente Palacios   R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Jeff Parrett       R   5   2   1   0   0   0   0   2   0   0   0  .400  .400  .600 
Bob Patterson      L   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Mark Portugal      R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
Dennis Rasmussen   L   8   2   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Armando Reynoso    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Dave Righetti      L   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Jose Rijo          R  17   5   2   0   0   1   0   5   0   0   0  .294  .333  .412 
Ben Rivera         R   7   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Rich Rodriguez     L   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Kevin Rogers       L   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mel Rojas          R   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
Bruce Ruffin       L  13   2   1   0   0   0   0   3   0   0   0  .154  .154  .231 
Scott Ruskin       L   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bret Saberhagen    R   7   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Bill Sampen        R   8   3   1   0   0   0   0   2   0   0   0  .375  .375  .500 
Curt Schilling     R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Dave J. Schmidt    R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Scott Scudder      R   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Jeff Shaw          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
H. Slocumb         R   4   1   0   0   0   1   0   0   0   0   0  .250  .400  .250 
John Smiley        L   6   3   1   0   0   1   0   0   0   0   0  .500  .571  .667 
Bryn Smith         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Lee Smith          R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Zane Smith         L  14   5   2   0   0   2   0   2   0   0   0  .357  .438  .500 
Greg Swindell      L  16   5   1   0   0   0   0   0   0   0   0  .313  .313  .375 
Scott Terry        R   3   1   0   0   0   1   1   0   0   0   0  .333  .500  .333 
Bob Tewksbury      R   8   0   0   0   0   2   0   0   0   0   0  .000  .200  .000 
Randy Tomlin       L   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
F. Valenzuela      L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Frank Viola        L   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Wagner        R   8   1   0   0   0   0   0   0   0   0   0  .125  .125  .125 
Tim Wakefield      R   9   2   1   0   0   4   0   2   0   0   0  .222  .462  .333 
Bob Walk           R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
John Wetteland     R   6   2   0   0   1   1   0   1   0   0   0  .333  .429  .833 
Wally Whitehurst   R   9   3   1   0   0   1   0   0   1   0   0  .333  .455  .444 
Ed Whitson         R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Mitch Williams     L   8   2   1   0   0   4   0   1   0   0   1  .250  .462  .375 
Steve Wilson       L   6   3   1   0   1   1   0   0   0   0   0  .500  .571 1.167 
Trevor Wilson      L  12   3   0   0   0   3   0   2   0   0   0  .250  .400  .250 
Todd Worrell       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Anthony Young      R   5   2   0   0   0   2   0   0   0   0   0  .400  .571  .400
