Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lee Stine          R  12   3   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Allyn Stout        R   9   1   0   0   0   3   0   0   0   0   0  .111  .333  .111 i
Joe Sullivan       L   9   1   0   0   1   1   0   0   0   0   0  .111  .200  .444 i
Tom Sunkel         L   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 i
Steve Swetonic     R  20   8   2   0   1   0   0   2   0   0   0  .400  .400  .650 
Bill Swift         R  49  16   4   0   0   3   0   4   0   0   0  .327  .365  .408 i
Vito Tamulis       L  21   9   2   0   2   0   0   0   1   0   0  .429  .455  .810 i
Junior Thompson    R  27   9   1   0   0   4   0   4   0   1   0  .333  .419  .370 
Sloppy Thurston    R  10   3   0   0   0   0   0   0   0   0   0  .300  .300  .300 
Jim Tobin          R  23   7   0   0   0   2   0   0   0   0   0  .304  .360  .304 i
Jim Turner         R  51  17   3   1   0   2   1   3   0   0   0  .333  .358  .431 i
J. Vander Meer     L  46  12   3   1   1   6   0   3   1   3   0  .261  .358  .435 
Bucky Walters      R  95  15   1   1   1   5   2   8   0   2   0  .158  .200  .221 i
Lon Warneke        R  46  16   2   0   2   5   2   5   0   0   0  .348  .412  .522 i
Jim Weaver         R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 i
Bob Weiland        L  27  10   0   0   2   3   0   0   0   0   0  .370  .433  .593 i
Bill Weir          L   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 i
Ernie White        L  12   1   0   0   1   0   0   1   0   0   0  .083  .083  .333 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Lefty Wilkie       L   4   2   1   0   0   1   0   0   0   0   0  .500  .600  .750 i
Jim Winford        R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 i
Whit Wyatt         R  24   3   0   0   1   2   0   0   0   1   0  .125  .192  .250 i
Tom Zachary        L  11   2   0   1   0   0   0   0   0   0   0  .182  .182  .364 i
