Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mel Queen          R   6   2   1   0   0   2   0   1   0   0   0  .333  .500  .500 i
Vic Raschi         R  23   7   2   0   2   9   1   4   0   0   0  .304  .500  .652 
Allie Reynolds     R  39   7   1   0   3   9   0   7   0   1   0  .179  .333  .436 i
Johnny Rigney      R  24   8   2   0   0   0   0   2   0   0   0  .333  .333  .417 i
Buck Ross          R  10   1   0   0   0   2   0   0   0   0   0  .100  .250  .100 i
Red Ruffing        R  21   3   0   0   0   2   0   0   0   0   0  .143  .217  .143 i
Marius Russo       L  21   6   0   0   0   3   0   2   0   0   0  .286  .375  .286 
Mike Ryba          R  10   5   2   1   0   3   0   0   0   0   0  .500  .615  .900 i
Fred Sanford       R  26   8   2   0   2   5   1   1   0   0   0  .308  .419  .615 
Bob Savage         R  18   4   2   0   0   4   0   1   0   0   0  .222  .364  .333 
Ray Scarborough    R  25   5   1   0   1   3   0   3   0   0   0  .200  .286  .360 
Carl Scheib        R  18   3   2   0   0   1   0   3   0   1   0  .167  .211  .278 i
Bobby Shantz       L   6   1   0   0   1   2   0   3   0   0   0  .167  .375  .667 
Spec Shea          R  12   4   1   1   0   6   0   0   0   0   0  .333  .556  .583 
Tex Shirley        R  20   3   0   0   0   2   0   1   1   0   0  .150  .261  .150 i
Ray Shore          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Al Smith           L  24   6   1   0   0   2   0   1   0   0   0  .250  .308  .292 i
Eddie Smith        L  30   6   1   0   0   2   0   1   0   0   0  .200  .250  .233 i
Bryan Stephens     R  18   6   1   1   0   3   0   3   0   0   0  .333  .429  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chuck Stobbs       L   6   3   0   1   0   0   0   0   0   0   0  .500  .500  .833 
Marlin Stuart      R   0   0   0   0   0   4   0   0   0   0   0     - 1.000     - 
Yank Terry         R  15   2   1   0   0   5   0   0   0   1   0  .133  .350  .200 i
Forrest Thompson   L   6   2   0   0   0   3   0   0   0   1   0  .333  .556  .333 
Dizzy Trout        R  57  19   4   0   2   7   0   4   0   0   0  .333  .406  .509 i
Virgil Trucks      R  38   8   1   0   4  10   0   8   0   0   0  .211  .375  .553 i
Jake Wade          L   7   2   0   1   0   0   0   0   0   0   0  .286  .286  .571 i
Charlie Wagner     R   6   2   1   0   0   3   0   0   0   0   0  .333  .556  .500 
Dick Weik          R   7   2   0   0   0   1   0   3   0   0   0  .286  .375  .286 
Dick Welteroth     R   9   2   0   0   0   3   0   0   0   0   0  .222  .417  .222 
Butch Wensloff     R  19   8   0   0   0   5   1   3   0   0   0  .421  .542  .421 i
Hal White          R  20   5   1   1   0   8   0   0   0   0   0  .250  .464  .400 i
Bill Wight         L  21   4   0   1   1   3   0   1   0   1   0  .190  .292  .429 
Les Willis         L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Roger Wolff        R  20   6   0   2   0   1   0   2   0   0   0  .300  .333  .500 i
Pinky Woods        R   4   0   0   0   0   1   0   0   0   0   0  .000  .200  .000 i
Early Wynn         R  18   7   4   0   1   0   0   2   0   0   0  .389  .389  .778 
Sam Zoldak         L  38  10   3   0   0   4   1   0   0   0   0  .263  .333  .342 i
Bill Zuber         R  11   1   0   0   0   1   0   0   0   0   0  .091  .167  .091 i
