Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Woody Abernathy    L   2   1   1   0   0   2   0   0   0   0   0  .500  .750 1.000 
Marv Grissom       R  17   1   1   0   0   4   2   2   0   0   0  .059  .238  .118 
Harry Gumbert      R  15   3   1   0   0   3   1   1   0   0   0  .200  .333  .267 
Warren Hacker      R  29  10   3   0   0   4   1   1   0   0   1  .345  .412  .448 
Harvey Haddix      L  12   1   0   0   0   0   0   6   0   0   0  .083  .083  .083 
Bob Hall           R  14   4   0   0   0   2   0   2   0   0   0  .286  .375  .286 
Jack Hallett       R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 
Ralph Hamner       R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Andy Hansen        R  10   4   0   0   0   3   0   0   0   0   0  .400  .538  .400 
Clint Hartung      R  19   6   0   0   0   1   0   2   0   0   0  .316  .350  .316 
Joe Hatten         L  61  11   1   0   0   3   0   4   0   0   0  .180  .219  .197 
Phil Haugstad      R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Ed Head            R  10   1   1   0   0   0   0   2   0   0   0  .100  .100  .200 
Jim Hearn          R  35  11   1   0   0   9   1   8   0   0   0  .314  .455  .343 
Ken Heintzelman    L  37  13   1   0   2   2   0   4   0   0   0  .351  .385  .541 
Art Herring        R   5   0   0   0   0   1   0   1   0   1   0  .000  .167  .000 
Johnny Hetki       R  13   2   0   0   0   1   1   1   0   0   0  .154  .214  .154 
Ed Heusser         R  15   5   1   0   1   0   0   0   0   0   0  .333  .333  .600 
Kirby Higbe        R  40  12   1   0   2   7   0   7   0   1   0  .300  .404  .475 
Frank Hiller       R  25  11   1   0   1   2   0   2   1   0   0  .440  .500  .600 
Cal Hogue          R  12   6   1   0   0   3   1   1   0   0   0  .500  .600  .583 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bobby Hogue        R   9   4   0   0   1   1   0   1   0   0   0  .444  .500  .778 
Jim Hughes         R   4   1   1   0   0   1   0   0   0   0   0  .250  .400  .500 
Larry Jansen       R  94  24   7   0   2   6   0  10   0   0   0  .255  .300  .394 
Al Javery          R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
George Jeffcoat    R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Ernie Johnson      R  14   4   0   0   0   1   0   2   0   0   0  .286  .333  .286 
Ken Johnson        L  16   5   1   1   0   0   0   0   0   0   0  .313  .313  .500 
Si Johnson         R  27   9   2   0   0   1   0   1   0   0   0  .333  .357  .407 i
Dave Jolly         R   5   1   0   0   0   1   1   0   0   0   0  .200  .333  .200 
Sheldon Jones      R  39  16   3   2   1   4   0   0   0   1   0  .410  .465  .667 
Niles Jordan       L  10   1   0   0   0   1   0   0   0   0   0  .100  .182  .100 
Bob Joyce          R  10   3   0   0   0   1   0   1   0   0   0  .300  .364  .300 
Howie Judson       R   7   2   1   0   1   0   0   1   0   0   0  .286  .286  .857 
Bob Kelly          R  15   3   0   0   0   7   0   0   0   0   0  .200  .455  .200 
Monty Kennedy      L  66  20   3   0   1   4   0   6   0   0   0  .303  .343  .394 
Clyde King         R  17   6   1   0   0   4   2   1   0   0   0  .353  .476  .412 
Ron Kline          R   2   1   0   0   0   1   0   0   1   0   0  .500  .750  .500 
J. Klippstein      R  36  13   2   1   1   6   0   0   2   1   0  .361  .477  .556 
Jim Konstanty      R  17   6   0   1   0   1   0   2   0   0   0  .353  .389  .471 
Dave Koslo         L  68  20   1   0   0   2   0   5   0   1   0  .294  .314  .309 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Kramer        R   6   4   1   1   0   2   0   0   0   0   0  .667  .750 1.167 
Emil Kush          R  21   8   3   0   1   1   1   1   1   1   0  .381  .435  .667 
Clem Labine        R  14   1   0   0   0   1   1   3   0   0   0  .071  .133  .071 
Doyle Lade         R  15   7   3   0   0   8   1   0   1   0   0  .467  .667  .667 
Clayton Lambert    R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Joe Landrum        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Walt Lanfranconi   R   5   1   0   0   0   2   0   0   0   0   0  .200  .429  .200 
Max Lanier         L  55  13   3   0   1   0   0   8   1   0   0  .236  .250  .345 i
Johnny Lanning     R  11   2   0   0   0   0   0   0   0   0   0  .182  .182  .182 
Paul LaPalme       L  21   4   0   0   0   1   0   3   0   1   0  .190  .227  .190 
Vern Law           R  12   2   0   0   0   3   0   2   0   0   0  .167  .333  .167 
Brooks Lawrence    R  11   2   1   0   0   1   0   1   0   0   0  .182  .250  .273 
Bill Lee           R  14  10   1   0   0   1   0   0   0   0   0  .714  .733  .786 i
Dutch Leonard      R  40  14   5   1   0   3   1   5   0   1   0  .350  .395  .525 
Don Liddle         L   8   1   0   0   0   0   0   1   0   0   0  .125  .125  .125 
Johnny Lindell     R  10   2   0   0   0   0   0   4   0   0   0  .200  .200  .200 
Royce Lint         L   6   3   0   1   0   0   0   0   0   0   0  .500  .500  .833 
Buddy Lively       R   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Billy Loes         R  39   8   1   0   0   2   0   1   0   0   0  .205  .244  .231 
Vic Lombardi       L  35   8   2   1   0   1   0   6   1   0   0  .229  .270  .343 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Turk Lown          R  13   3   1   0   0   3   0   1   0   0   1  .231  .353  .308 
Bill Macdonald     R   9   3   0   0   0   1   0   1   1   0   0  .333  .455  .333 
Sal Maglie         R  41   7   2   0   1   6   2   5   0   0   0  .171  .277  .293 
Woody Main         R   8   1   1   0   0   2   0   0   0   0   0  .125  .300  .250 
Bob Malloy         R  13   4   0   0   0   1   0   0   0   0   0  .308  .357  .308 
Fred Martin        R  11   2   0   0   0   1   0   1   0   0   0  .182  .250  .182 
Windy McCall       L   3   0   0   0   0   2   0   1   0   0   0  .000  .400  .000 
Dutch McCall       L  23   8   2   1   0   1   0   5   0   0   0  .348  .375  .522 
Cal McLish         R  12   6   0   0   0   1   0   0   0   0   0  .500  .538  .500 
Russ Meers         L   6   1   0   0   0   1   0   1   0   0   0  .167  .286  .167 
Rube Melton        R  15   2   0   1   0   1   0   1   0   0   0  .133  .188  .267 
Russ Meyer         R  39  14   4   1   1   6   0   7   0   0   0  .359  .444  .590 
Bob Miller         R  25   6   2   1   0   1   0   1   0   1   0  .240  .269  .400 
Stu Miller         R   8   2   0   0   0   2   0   2   0   0   0  .250  .400  .250 
Bob Milliken       R   9   4   0   0   1   0   0   0   0   0   0  .444  .444  .778 
Paul Minner        L  56  13   1   2   1   6   0   4   0   0   0  .232  .306  .375 
V. Mizell          L  29   7   1   0   0   2   0   4   0   0   0  .241  .290  .276 
Joe Muir           L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Red Munger         R  28   7   0   1   2   7   0   2   1   0   0  .250  .417  .536 i
Don Newcombe       R  50  16   4   0   0   2   0   8   0   0   0  .320  .346  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Chet Nichols       L  10   5   0   0   0   2   0   1   0   0   0  .500  .583  .500 
Johnny Niggeling   R   5   1   1   0   0   0   0   0   0   0   0  .200  .200  .400 
Joe Nuxhall        L   9   0   0   0   0   1   0   1   0   0   0  .000  .100  .000 
George O'Donnell   R   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
F. Ostermueller    L  17   3   1   0   1   2   0   2   0   0   0  .176  .263  .412 
Erv Palica         R  21   3   1   0   0   0   0   3   0   0   0  .143  .143  .190 
Claude Passeau     R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 i
Harry Perkowski    L  10   1   0   0   0   0   0   0   0   0   0  .100  .100  .100 
Mario Picone       R   6   1   1   0   0   0   0   0   0   0   0  .167  .167  .333 
Ray Poat           R  13   3   0   0   0   0   0   2   0   0   0  .231  .231  .231 
Bud Podbielan      R  12   4   0   0   1   1   0   1   0   0   0  .333  .385  .583 
Johnny Podgajny    R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Johnny Podres      L   5   1   0   0   0   0   0   2   0   0   1  .200  .167  .200 
Tom Poholsky       R   6   0   0   0   0   1   0   1   0   0   0  .000  .143  .000 
Howie Pollet       L  91  28   6   1   2  10   1   6   1   0   0  .308  .382  .462 
Nels Potter        R  10   1   0   0   0   2   1   2   0   0   0  .100  .250  .100 
Jim Prendergast    L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Joe Presko         R  27   6   2   0   0   2   0   4   0   0   0  .222  .276  .296 
Mel Queen          R  24   8   2   0   0   7   1   2   0   0   0  .333  .484  .417 
K. Raffensberger   L  10   5   1   0   0   0   0   2   0   0   0  .500  .500  .600 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Willie Ramsdell    R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Vic Raschi         R   7   1   1   0   0   0   0   3   0   0   0  .143  .143  .286 
Elmer Riddle       R  15   6   1   0   2   2   0   1   1   0   0  .400  .500  .867 
Robin Roberts      R  58  16   2   0   1   3   0   2   1   0   0  .276  .323  .362 
Preacher Roe       L  60  19   4   0   2   5   0   7   0   0   0  .317  .369  .483 
Schoolboy Rowe     R   8   1   0   0   0   1   0   2   0   0   0  .125  .222  .125 i
Normie Roy         R   5   3   3   0   0   3   0   0   0   0   0  .600  .750 1.200 
Bob Rush           R  59  17   5   0   1   3   2   5   0   0   0  .288  .323  .424 
J. Rutherford      R   7   2   1   0   0   0   0   0   0   0   0  .286  .286  .429 
Johnny Sain        R  77  24   4   1   0  10   0   6   0   0   0  .312  .391  .390 
Willard Schmidt    R   6   1   0   0   0   2   1   2   0   0   0  .167  .375  .167 
Johnny Schmitz     L  54  15   4   1   0   4   0   7   2   1   0  .278  .350  .389 
Bob Schultz        L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Hal Schumacher     R  10   2   0   0   1   2   0   0   0   0   0  .200  .333  .500 
Rip Sewell         R  21   6   1   1   1   3   0   0   0   0   0  .286  .375  .571 
Clyde Shoun        L  25   9   1   2   1   0   0   2   0   0   0  .360  .360  .680 
Curt Simmons       L  32  10   0   0   0   6   0   6   0   0   0  .313  .421  .313 
Duke Simpson       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Elmer Singleton    R   9   3   1   1   0   6   1   0   0   0   0  .333  .600  .667 
Frank Smith        R   6   1   0   0   0   2   1   2   0   2   0  .167  .375  .167 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Warren Spahn       L  73  14   4   1   1   4   0  20   0   0   0  .192  .234  .315 
George Spencer     R   6   2   0   0   0   1   0   0   0   1   0  .333  .429  .333 
Gerry Staley       R  46  12   2   0   0   2   1   2   0   1   0  .261  .292  .304 
Ray Starr          R  15   1   0   0   0   2   0   0   0   0   0  .067  .176  .067 
Nick Strincevich   R  18   8   1   2   1   0   0   0   0   1   0  .444  .444  .889 
Max Surkont        R  34  12   2   2   0   4   1   3   0   0   0  .353  .421  .529 
Harry Taylor       R   8   3   1   0   0   2   0   0   0   1   0  .375  .500  .500 
Junior Thompson    R   3   2   0   0   0   1   0   1   0   0   0  .667  .750  .667 
Jocko Thompson     L  19   7   1   0   0   0   0   0   0   0   0  .368  .368  .421 
Jim Tobin          R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Ken Trinkle        R  23   3   3   0   0   7   2   0   0   0   0  .130  .333  .261 
Corky Valentine    R   6   0   0   0   0   3   0   0   0   0   0  .000  .333  .000 
Chris Van Cuyk     L  13   5   1   0   1   0   0   3   0   0   0  .385  .385  .692 
J. Vander Meer     L  26   5   0   0   0   4   0   7   0   2   0  .192  .300  .192 
Bill Voiselle      R  41  10   4   0   0   5   0   5   0   0   0  .244  .326  .341 
Ben Wade           R  12   3   0   1   0   0   0   1   1   0   0  .250  .308  .417 
Junior Walsh       R  15   5   2   1   0   1   0   1   0   0   0  .333  .375  .600 
Bucky Walters      R  17   2   0   0   0   3   0   0   1   0   0  .118  .286  .118 
Jim Waugh          R  10   1   0   0   0   5   0   0   0   0   0  .100  .400  .100 
Les Webber         R   6   2   0   0   0   0   0   1   0   0   0  .333  .333  .333 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Herm Wehmeier      R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Bill Werle         L  41  10   2   1   0   3   0   9   1   1   0  .244  .311  .341 
Hoyt Wilhelm       R  10   1   0   0   0   4   0   1   0   1   0  .100  .357  .100 
Ted Wilks          R  23   8   2   0   1   3   1   4   0   0   0  .348  .423  .565 
Jim Wilson         R  20   7   0   0   0   4   0   4   0   0   0  .350  .458  .350 
Johnnie Wittig     R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Al Worthington     R   6   2   1   0   0   2   0   2   0   0   0  .333  .500  .500 
Ed Wright          R  12   2   1   0   0   3   1   0   0   0   0  .167  .333  .250 
Hank Wyse          R  30  10   2   1   0   4   1   2   0   0   0  .333  .412  .467 i
Eddie Yuhas        R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Adrian Zabala      L   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000
