Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Orie Arntzen       R   4   3   1   0   0   0   0   0   0   0   0  .750  .750 1.000 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Harry Eisenstat    L   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 i
Red Embree         R  11   0   0   0   0   1   0   3   0   2   0  .000  .083  .000 i
Dick Errickson     R  12   1   0   0   0   1   0   1   0   1   0  .083  .154  .083 i
Red Evans          R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 i
Bob Feller         R  12   3   0   0   0   0   0   3   0   0   0  .250  .250  .250 
Dave Ferriss       R  11   2   1   0   0   1   0   0   0   1   0  .182  .250  .273 
Lou Fette          R  26   7   2   0   1   0   0   1   0   0   0  .269  .269  .462 i
F. Fitzsimmons     R  27  12   5   2   1   0   0   0   0   0   0  .444  .444  .889 i
Jesse Flores       R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 i
Dick Fowler        R  15   3   1   0   0   1   0   3   0   0   0  .200  .250  .267 i
Fred Frankhouse    R   5   3   2   0   1   0   0   0   0   0   0  .600  .600 1.600 i
Larry French       L  35  10   1   0   0   0   0   8   0   0   0  .286  .286  .314 i
Charlie Fuchs      R   7   1   0   0   0   1   0   1   0   0   0  .143  .250  .143 i
Charlie Gassaway   L  10   4   0   0   0   2   0   0   0   0   0  .400  .500  .400 
Steve Gerkin       R  16   1   0   0   1   1   0   1   0   0   0  .063  .118  .250 
Al Gettel          R  17   4   0   1   0   3   0   4   0   0   0  .235  .350  .353 
Bob Gillespie      R   4   1   0   0   0   3   0   0   0   0   0  .250  .571  .250 i
Johnny Gorsica     R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 i
Lee Grissom        L  29   6   0   0   0   3   0   3   0   0   0  .207  .281  .207 
Steve Gromek       R  22   4   1   0   0   1   0   5   0   1   0  .182  .217  .227 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Orval Grove        R  37   9   1   1   0   1   0   5   0   0   0  .243  .263  .324 i
Harry Gumbert      R  15   5   0   0   0   0   0   1   0   0   0  .333  .333  .333 i
Mickey Haefner     L  45  10   4   0   1   2   0   6   0   0   0  .222  .255  .378 i
Luke Hamlin        R  54  16   2   0   0   0   0   2   0   2   0  .296  .296  .333 i
Mel Harder         R  32   5   1   0   0   4   0   4   0   0   0  .156  .250  .188 i
Lum Harris         R  24   6   1   1   0   1   0   2   0   1   0  .250  .280  .375 i
Clem Hausmann      R   9   1   0   0   0   1   0   0   0   0   0  .111  .200  .111 i
Joe Haynes         R  13   3   0   0   0   1   0   1   0   1   0  .231  .286  .231 i
Randy Heflin       R   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Ken Heintzelman    L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 i
Roy Henshaw        L  10   3   1   1   0   0   0   0   0   0   0  .300  .300  .600 i
Kirby Higbe        R   7   0   0   0   0   1   0   1   0   0   0  .000  .125  .000 i
Wally Holborow     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Ken Holcombe       R   7   3   1   0   0   0   0   0   0   0   0  .429  .429  .571 
Al Hollingsworth   L  24   2   0   0   0   1   0   4   0   0   0  .083  .120  .083 i
Waite Hoyt         R  15   3   0   0   0   1   0   2   0   0   0  .200  .250  .200 i
Carl Hubbell       L  30   7   1   0   0   0   0   7   0   0   0  .233  .233  .267 i
Sid Hudson         R   6   0   0   0   0   1   0   2   0   0   0  .000  .143  .000 i
Tex Hughson        R  33   7   0   0   1   0   0   5   0   0   0  .212  .212  .303 i
Johnny Humphries   R   8   2   1   0   0   1   0   0   0   0   0  .250  .333  .375 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ira Hutchinson     R  15   3   1   0   1   2   0   1   0   0   0  .200  .294  .467 i
George Jeffcoat    R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Johnny Johnson     L   5   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 i
Vic Johnson        L   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 i
Oscar Judd         L  25   8   2   0   0   1   0   1   0   0   0  .320  .346  .400 i
Hal Kelleher       R   7   5   3   0   0   1   0   0   0   0   0  .714  .750 1.143 
Vern Kennedy       R  13   4   2   0   0   3   0   0   0   0   0  .308  .438  .462 i
Ellis Kinder       R   9   1   0   0   0   3   0   0   0   0   0  .111  .333  .111 
Ed Klieman         R  11   2   0   0   0   0   0   0   0   0   0  .182  .182  .182 i
Bob Klinger        R  20   8   1   0   0   0   0   3   0   0   0  .400  .400  .450 i
Lou Knerr          R  12   2   0   0   0   1   0   2   0   1   0  .167  .231  .167 
Johnny Lanning     R  15   5   1   0   0   1   0   2   0   0   0  .333  .375  .400 i
Thornton Lee       L   9   3   2   0   0   0   0   1   0   0   0  .333  .333  .556 i
Bill Lee           R  55  12   0   2   1   1   0   7   0   0   0  .218  .232  .345 i
Bill LeFebvre      L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 i
Dutch Leonard      R  18   3   1   0   0   0   0   2   0   0   0  .167  .167  .222 i
Gene Lillard       R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 i
Bill Lohrman       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 i
Eddie Lopat        L  37  10   3   0   0   1   0   2   0   0   0  .270  .289  .351 i
Red Lucas          R   4   1   0   0   0   2   0   0   0   0   0  .250  .500  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ted Lyons          R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Danny MacFayden    R  41   9   2   0   0   0   0   4   0   1   0  .220  .220  .268 i
Phil Marchildon    R  15   4   0   0   0   0   0   0   0   0   0  .267  .267  .267 i
Walt Masterson     R   8   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 i
Cliff Melton       L  31  12   2   2   1   1   0   4   0   0   0  .387  .406  .677 i
Jim Mertz          R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 i
Al Milnar          L  12   5   1   0   0   0   0   1   0   2   0  .417  .417  .500 i
Whitey Moore       R   9   3   0   0   0   4   0   2   0   0   0  .333  .538  .333 
Hugh Mulcahy       R  36   5   2   0   1   2   0   2   0   0   0  .139  .184  .278 i
Bob Muncrief       R   8   1   0   0   0   0   0   0   0   1   0  .125  .125  .125 
Van Mungo          R  11   2   1   0   0   5   0   6   0   0   0  .182  .438  .273 i
Johnny Murphy      R   5   2   1   0   0   2   0   1   0   0   0  .400  .571  .600 i
Hal Newhouser      L  70  11   2   0   0   3   0  11   0   0   0  .157  .192  .186 i
Bobo Newsom        R  26   7   1   1   1   3   0   8   0   0   0  .269  .345  .500 i
Dick Newsome       R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 i
Johnny Niggeling   R  28   2   1   0   0   3   0   7   0   0   0  .071  .161  .107 i
Emmett O'Neill     R  10   3   0   0   0   6   0   1   0   0   0  .300  .563  .300 i
Stubby Overmire    L   7   1   0   0   0   2   0   0   0   0   0  .143  .333  .143 i
Joe Page           L  27   8   0   1   0   3   0   3   0   0   0  .296  .367  .370 
Vance Page         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Frank Papish       L  11   2   0   0   0   1   0   1   0   0   0  .182  .250  .182 
Roy Parmelee       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Claude Passeau     R  25   8   1   1   0   0   0   3   0   0   0  .320  .320  .440 i
Ike Pearson        R  12   4   1   0   1   0   0   0   0   1   0  .333  .333  .667 i
Marino Pieretti    R  16   5   1   0   0   1   0   1   0   0   0  .313  .353  .375 
Bill Posedel       R  27   7   2   0   0   0   0   4   0   0   0  .259  .259  .333 i
Tot Pressnell      R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Mel Queen          R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 i
Bobby Reis         R   3   1   0   0   0   3   0   0   0   0   0  .333  .667  .333 
Allie Reynolds     R  26   6   2   0   0   0   0   1   0   1   0  .231  .231  .308 i
Johnny Rigney      R  10   1   0   0   0   0   0   1   0   1   0  .100  .100  .100 i
Charlie Root       R  14   4   1   0   0   0   0   2   0   0   0  .286  .286  .357 i
Buck Ross          R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 i
Red Ruffing        R  23  10   2   0   0   1   0   1   0   0   0  .435  .458  .522 
Jack Russell       R   7   2   0   0   0   0   0   0   0   0   0  .286  .286  .286 i
Marius Russo       L   5   2   1   0   0   0   0   1   0   0   0  .400  .400  .600 i
Mike Ryba          R  23   8   1   0   0   3   1   2   0   0   0  .348  .423  .391 i
Jack Salveson      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 i
Manny Salvo        R  10   2   0   0   0   0   0   3   0   0   0  .200  .200  .200 i
Ray Scarborough    R   6   3   1   0   0   0   0   0   0   0   0  .500  .500  .667 i
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Gene Schott        R  19   5   1   2   0   0   0   5   0   0   0  .263  .263  .526 
Hal Schumacher     R  15   4   0   1   1   1   0   1   0   0   0  .267  .313  .600 i
Rip Sewell         R   4   1   0   0   1   0   0   0   0   0   0  .250  .250 1.000 i
Tex Shirley        R   3   1   0   1   0   1   0   0   0   0   0  .333  .500 1.000 
Milt Shoffner      L  24   7   0   0   0   2   0   2   0   0   0  .292  .346  .292 i
Pete Sivess        R   9   1   0   0   0   0   0   1   0   0   0  .111  .111  .111 i
Al Smith           L  24   6   1   0   0   5   0   2   0   0   0  .250  .379  .292 i
Eddie Smith        L   5   0   0   0   0   4   0   0   0   2   0  .000  .444  .000 i
Nick Strincevich   R   4   2   0   0   1   0   0   2   0   0   0  .500  .500 1.250 
Joe Sullivan       L  13   4   1   0   0   2   0   2   0   0   0  .308  .400  .385 i
Bill Swift         R  18   1   0   0   0   0   0   8   0   1   0  .056  .056  .056 i
Vito Tamulis       L  19   4   0   0   0   1   0   2   0   0   0  .211  .250  .211 i
Yank Terry         R  10   4   1   0   0   0   0   0   0   0   0  .400  .400  .500 i
Junior Thompson    R   8   3   0   0   0   0   0   1   0   0   0  .375  .375  .375 
Jim Tobin          R  20   3   1   0   1   1   0   7   1   0   0  .150  .227  .350 i
Dizzy Trout        R  49  12   3   0   0   2   0   2   0   1   0  .245  .275  .306 i
Virgil Trucks      R  13   2   1   0   0   5   0   1   0   0   0  .154  .389  .231 i
Jim Turner         R  42  14   0   1   2   1   0   3   0   0   0  .333  .349  .524 i
Sandy Ullrich      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
J. Vander Meer     L  15   1   0   0   0   5   0   3   0   0   0  .067  .300  .067 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jake Wade          L   5   3   0   0   1   0   0   1   0   0   0  .600  .600 1.200 i
Charlie Wagner     R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Bucky Walters      R  28   3   0   0   1   0   0   4   0   1   0  .107  .107  .214 i
Lon Warneke        R   7   1   0   1   0   0   0   3   0   0   0  .143  .143  .429 i
Jim Weaver         R  13   4   2   0   0   0   0   2   0   1   0  .308  .308  .462 
Butch Wensloff     R  17   2   0   0   0   1   0   2   0   0   0  .118  .167  .118 
Woody Wheaton      L   5   3   1   0   0   0   0   0   0   0   0  .600  .600  .800 i
Hal White          R  13   4   0   1   0   2   0   0   0   0   0  .308  .400  .462 i
Earl Whitehill     L   5   1   0   0   0   2   0   1   0   0   0  .200  .429  .200 i
Jim Wilson         R   8   4   1   0   0   1   0   0   0   0   0  .500  .556  .625 
Roger Wolff        R  33   5   1   0   0   3   0   4   0   0   0  .152  .222  .182 i
Pinky Woods        R  14   3   1   0   0   1   0   2   0   0   0  .214  .267  .286 i
Whit Wyatt         R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Early Wynn         R  31   9   2   0   0   0   0   4   0   0   0  .290  .290  .355 i
Bill Zuber         R   8   3   0   0   0   2   0   1   0   0   0  .375  .500  .375 i
